alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity
9.9,0.045,0.3,0.9953,6.8,28.0,3.12,8.8,0.59,131.0,0.41
9.9,0.046,0.25,0.99606,6.4,66.0,3.17,10.7,0.55,179.0,0.26
8.8,0.047,0.23,0.99906,6.6,37.0,3.08,17.3,0.46,118.0,0.22
12.8933333333333,0.035,0.24,0.9901,6.7,33.0,3.12,5.4,0.44,115.0,0.41
8.8,0.045,0.36,1.001,7.0,45.0,3.0,20.7,0.45,170.0,0.27
9.1,0.057,0.53,0.99642,6.4,36.0,3.17,8.8,0.44,221.0,0.31
11.0,0.03,0.49,0.994,7.4,26.0,2.99,9.3,0.32,132.0,0.19
9.0,0.052,0.49,0.9956,6.6,19.0,3.11,7.4,0.38,184.0,0.46
9.8,0.271,0.2,0.99356,7.1,24.0,3.11,1.6,0.63,140.0,0.36
9.0,0.051,0.28,0.99792,7.0,29.0,2.96,14.7,0.39,149.0,0.15
12.1,0.034,0.36,0.98942,6.5,32.0,3.11,0.8,0.5,111.0,0.35
10.2,0.041,0.62,0.99358,6.8,7.0,2.96,6.4,0.59,113.0,0.21
10.4,0.05,0.26,0.99608,7.4,33.0,3.13,9.6,0.46,134.0,0.37
8.9,0.056,0.3,0.999,7.6,53.0,3.14,14.2,0.46,212.5,0.2
9.0,0.035,0.32,0.99666,6.7,18.0,2.88,12.5,0.36,156.0,0.16
9.1,0.053,0.3,0.9986,7.4,48.5,3.14,12.8,0.49,212.0,0.19
11.1,0.028,0.28,0.99072,6.1,22.0,3.16,2.5,0.37,98.0,0.17
9.6,0.05,0.26,0.99514,6.4,53.0,3.14,7.9,0.5,180.0,0.32
9.3,0.037,0.74,0.9998,7.9,52.0,2.99,17.85,0.41,187.0,0.16
8.7,0.047,0.62,0.9976,7.2,66.0,3.16,11.0,0.5,178.0,0.39
10.5,0.039,0.38,0.9943,6.9,20.0,3.1,6.5,0.42,110.0,0.18
10.1,0.046,0.6,0.9936,7.6,47.0,3.05,2.1,0.54,165.0,0.21
13.2,0.034,0.24,0.98882,6.9,49.0,2.98,2.1,0.43,121.0,0.28
12.8,0.039,0.27,0.98959,6.2,30.0,3.12,2.9,0.37,123.0,0.24
10.1,0.045,0.19,0.99364,6.5,98.0,3.16,6.6,0.34,175.0,0.27
9.7,0.042,0.7,0.998,8.4,29.0,3.06,13.1,0.64,197.0,0.4
11.0,0.054,0.35,0.99287,6.8,53.0,3.1,5.4,0.54,143.0,0.18
9.2,0.048,0.27,0.9936,7.2,30.0,3.1,2.4,0.51,149.0,0.27
9.3,0.212,0.3,0.9958,6.3,60.0,3.1,8.1,0.4,150.0,0.29
9.3,0.063,0.56,1.00098,9.4,52.5,3.1,16.45,0.51,282.0,0.23
9.5,0.056,0.24,0.99718,7.0,68.0,3.05,12.1,0.5,210.0,0.44
10.9,0.058,0.24,0.99567,7.5,25.0,3.15,9.9,0.46,115.0,0.29
8.8,0.066,0.2,0.9991,6.3,36.0,3.14,17.9,0.51,161.0,0.33
10.2,0.069,0.24,0.9942,6.3,9.0,3.15,6.9,0.35,117.0,0.39
8.6,0.057,0.49,1.0024,6.9,59.0,2.98,23.5,0.47,235.0,0.27
11.5,0.021,0.31,0.99038,8.4,52.0,2.93,0.95,0.32,148.0,0.31
9.1,0.244,0.46,0.9983,7.9,33.0,2.87,10.6,0.74,227.0,0.64
11.3,0.026,0.34,0.9916,9.2,31.0,2.93,1.2,0.37,93.0,0.25
12.5,0.029,0.36,0.99076,7.2,21.0,3.13,2.0,0.63,63.0,0.24
11.3,0.035,0.33,0.99082,6.9,35.0,3.02,1.2,0.58,158.0,0.25
9.6,0.045,0.4,0.9977,7.2,66.0,3.08,13.6,0.59,231.0,0.29
12.5,0.035,0.32,0.99144,7.6,22.0,3.08,3.6,0.6,93.0,0.39
8.7,0.039,0.74,0.9982,7.3,46.0,3.02,13.5,0.4,165.0,0.3
10.0,0.042,0.37,0.9928,8.2,39.0,2.99,1.3,0.36,117.0,0.23
9.7,0.048,0.27,0.99606,6.6,28.0,2.87,11.8,0.49,112.0,0.26
10.3,0.043,0.44,0.9932,7.6,25.0,3.11,1.4,0.75,109.0,0.16
9.6,0.047,0.3,0.99705,6.8,69.0,3.16,13.0,0.5,160.0,0.27
10.6,0.033,0.62,0.99472,7.3,48.0,3.14,7.1,0.62,185.0,0.36
9.0,0.053,0.29,0.99839,6.7,55.0,3.03,14.9,0.52,136.0,0.24
10.4,0.052,0.29,0.99544,6.8,51.0,3.02,11.9,0.58,149.0,0.28
12.9,0.029,0.29,0.98944,8.0,52.0,3.03,2.4,0.33,119.0,0.17
12.0,0.034,0.38,0.99026,8.1,36.0,2.8,0.9,0.55,86.0,0.12
9.5,0.06,0.57,0.9924,6.4,15.0,3.06,1.0,0.41,120.0,0.29
8.7,0.073,0.29,0.9984,6.8,56.0,3.06,15.4,0.41,173.0,0.23
9.0,0.054,0.29,0.9998,7.8,23.0,3.16,16.85,0.38,135.0,0.3
10.0,0.051,0.34,0.99314,6.6,40.5,3.15,2.6,0.61,210.0,0.34
12.3,0.028,0.29,0.99076,6.0,25.0,3.14,5.0,0.34,108.0,0.17
10.7,0.024,0.26,0.9948,6.9,36.0,3.16,5.2,0.72,135.0,0.25
11.5,0.042,0.28,0.9928,7.8,45.0,2.96,4.75,0.4,166.0,0.23
12.8,0.023,0.24,0.99176,7.2,19.0,3.14,7.0,0.49,130.0,0.26
9.4,0.051,0.22,0.99676,6.6,35.0,3.1,12.3,0.67,146.0,0.24
9.7,0.033,0.27,0.9988,10.0,45.0,2.72,14.1,0.43,166.0,0.23
9.0,0.051,0.28,0.99792,7.0,29.0,2.96,14.7,0.39,149.0,0.15
9.4,0.063,0.35,0.99537,6.6,31.0,3.1,6.0,0.47,150.0,0.35
10.8,0.035,0.36,0.9917,6.8,30.0,3.15,1.9,0.54,96.0,0.19
8.7,0.042,0.68,0.99841,7.6,56.0,3.05,12.9,0.41,160.0,0.2
11.7,0.037,0.26,0.9902,7.0,20.0,3.1,1.1,0.38,71.0,0.22
11.4,0.033,0.28,0.993,7.1,16.0,2.91,3.6,0.78,78.0,0.19
9.5,0.042,0.71,0.99784,6.8,21.0,2.85,17.5,0.5,114.0,0.19
10.4,0.029,0.52,0.9918,7.0,5.0,3.07,1.7,0.43,61.0,0.31
10.5,0.053,0.49,0.9942,6.4,25.0,3.01,5.8,0.98,120.0,0.24
12.0,0.043,0.44,0.99452,8.2,52.0,3.04,12.4,0.33,154.0,0.3
12.8,0.029,0.33,0.9902,7.2,29.0,3.15,1.4,0.51,109.0,0.32
12.3,0.03,0.49,0.9938,7.6,45.0,3.13,9.6,0.38,197.0,0.29
9.4,0.045,0.7,0.9976,8.3,33.0,3.09,10.6,0.57,169.0,0.39
9.2,0.071,0.47,0.9968,6.8,44.0,2.98,11.2,0.88,136.0,0.37
10.2,0.04,0.38,0.9942,8.8,39.0,3.16,1.8,0.67,148.0,0.17
11.3,0.031,0.24,0.9948,7.7,41.0,3.12,11.2,0.43,167.0,0.44
11.7,0.036,0.2,0.99088,7.8,25.0,3.03,1.4,0.46,83.0,0.2
12.0,0.046,0.31,0.99022,6.5,19.0,3.15,3.6,0.34,143.0,0.43
9.2,0.046,0.25,0.99828,6.5,15.0,3.15,17.3,0.42,110.0,0.23
10.0,0.048,0.49,0.9968,8.1,46.0,3.09,11.8,0.46,212.0,0.2
10.4,0.052,0.29,0.99546,6.8,54.0,3.03,11.9,0.58,160.0,0.26
