alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity
11.4,0.043,0.28,0.99033,5.9,45.0,3.4,1.0,0.41,100.0,0.2
9.2,0.096,0.18,0.99771,6.2,28.0,3.56,7.7,0.72,210.0,0.44
12.0,0.042,0.26,0.99114,6.8,28.0,3.38,2.7,0.51,83.0,0.46
11.8,0.03,0.23,0.99322,5.0,23.0,3.41,11.8,0.64,158.0,0.33
9.9,0.036,0.04,0.99228,6.1,23.0,3.24,1.3,0.61,121.0,0.41
11.9,0.026,0.27,0.98994,5.8,15.0,3.37,1.55,0.4,70.0,0.315
9.2,0.042,0.25,0.99646,5.8,33.0,3.22,10.8,0.41,124.0,0.19
10.5,0.047,0.38,0.9954,6.9,47.0,3.34,8.3,0.52,162.0,0.23
10.4,0.034,0.52,0.99223,6.5,41.0,3.25,1.7,0.59,193.0,0.29
13.0,0.038,0.22,0.99018,6.6,17.0,3.25,4.0,0.53,98.0,0.39
11.2,0.034,0.3,0.992,6.6,15.0,3.38,1.6,0.44,78.0,0.16
9.1,0.041,0.42,0.9996,7.3,57.0,3.29,14.2,0.75,182.0,0.25
10.3,0.051,0.28,0.9927,6.9,37.0,3.27,1.3,0.6,187.0,0.33
10.2,0.043,0.22,0.99238,6.3,45.0,3.19,1.5,0.48,155.0,0.18
11.1,0.035,0.31,0.99076,6.1,17.0,3.32,1.5,0.44,83.0,0.27
13.6,0.029,0.3,0.98742,5.3,25.0,3.31,1.2,0.4,93.0,0.3
9.2,0.038,0.05,0.9924,5.6,11.0,3.36,0.8,0.35,30.0,0.29
10.8,0.04,0.37,0.992,7.9,16.0,3.18,1.2,0.63,75.0,0.18
10.5,0.046,0.27,0.9924,6.0,32.0,3.41,1.6,0.51,113.0,0.27
10.7,0.04,0.32,0.9958,6.9,22.0,3.34,9.3,0.54,110.0,0.22
11.5,0.038,0.32,0.9937,7.1,16.0,3.24,11.0,0.4,66.0,0.32
9.2,0.051,0.32,0.9974,7.3,34.0,3.2,14.4,0.35,109.0,0.13
13.1,0.04,0.38,0.98968,6.0,41.0,3.24,4.8,0.56,101.0,0.31
11.6,0.037,0.32,0.9934,7.1,39.0,3.31,5.9,0.4,97.0,0.26
10.4,0.033,0.37,0.99726,7.6,52.0,3.18,13.1,0.79,151.0,0.19
10.6,0.025,0.3,0.992,6.4,33.0,3.21,2.2,0.47,134.0,0.26
9.8,0.039,0.29,0.99564,7.0,41.0,3.19,10.3,0.38,98.0,0.12
8.7,0.042,0.49,0.9997,6.6,41.0,3.28,18.15,0.39,158.0,0.21
9.6,0.057,0.3,0.9978,6.9,50.0,3.39,9.6,0.38,185.0,0.16
9.4,0.064,0.24,0.9946,6.6,23.0,3.32,2.0,0.54,120.0,0.37
10.8,0.046,0.29,0.99518,6.8,59.0,3.2,10.4,0.4,143.0,0.16
9.5,0.048,0.31,0.993,6.1,23.0,3.22,0.9,0.77,170.0,0.4
9.2,0.039,0.25,0.9919,5.1,15.0,3.22,0.7,0.43,89.0,0.14
10.4,0.046,0.22,0.9979,6.6,38.0,3.22,16.7,0.67,133.0,0.32
12.5,0.03,0.35,0.9912,6.4,34.0,3.36,4.8,0.6,101.0,0.32
9.9,0.045,0.34,0.9934,7.4,73.5,3.18,2.3,0.61,214.0,0.155
9.2,0.04,0.25,0.9971,6.9,28.0,3.28,9.8,0.61,191.0,0.38
11.7,0.028,0.33,0.9902,5.2,13.0,3.37,1.2,0.38,81.0,0.37
12.1,0.036,0.04,0.9894,5.2,43.0,3.36,1.4,0.33,119.0,0.44
10.5,0.029,0.5,0.99428,5.6,25.0,3.23,11.4,0.49,93.0,0.26
12.7,0.033,0.31,0.98984,5.9,45.0,3.35,1.8,0.5,142.0,0.21
11.4,0.047,0.32,0.9938,7.0,47.0,3.23,6.8,0.39,193.0,0.27
11.2,0.029,0.11,0.99076,5.3,6.0,3.51,1.1,0.48,51.0,0.43
10.7,0.04,0.34,0.99216,6.5,25.0,3.29,1.4,0.46,184.0,0.26
10.5,0.036,0.12,0.99239,5.8,57.0,3.38,1.6,0.59,163.0,0.3
11.5,0.104,0.33,0.99057,7.1,20.0,3.19,1.0,0.64,54.0,0.14
11.1,0.04,0.28,0.99174,7.1,31.0,3.18,1.2,0.53,111.0,0.25
10.8,0.027,0.25,0.9934,5.9,34.0,3.49,4.5,0.51,140.0,0.14
9.8,0.051,0.4,0.9932,7.1,55.0,3.3,1.2,0.96,136.0,0.14
10.1,0.04,0.25,0.9934,6.1,10.0,3.54,3.3,0.59,69.0,0.125
10.0,0.044,0.74,0.996,7.8,59.0,3.22,7.5,0.64,160.0,0.26
8.8,0.05,0.42,0.9999,7.0,35.0,3.22,18.05,0.42,144.0,0.23
11.4,0.038,0.37,0.9902,5.6,6.0,3.37,1.0,0.34,72.0,0.35
10.4,0.052,0.33,0.9938,6.3,23.0,3.23,6.9,0.46,118.0,0.23
10.7,0.06,0.34,0.9931,7.5,26.0,3.51,1.2,0.47,111.0,0.21
9.3,0.048,0.44,0.9975,6.6,54.0,3.26,12.2,0.54,245.0,0.52
11.0,0.031,0.2,0.9919,6.0,49.0,3.41,1.8,0.53,159.0,0.33
9.5,0.032,0.45,0.997,6.7,56.0,3.22,10.6,0.59,212.0,0.3
8.8,0.053,0.43,1.0008,8.8,60.0,3.28,15.0,0.79,184.0,0.2
8.7,0.046,0.41,0.9998,7.1,39.0,3.32,17.8,0.39,145.0,0.24
8.5,0.042,0.46,1.0,7.8,41.0,3.24,12.6,0.76,143.0,0.18
10.8,0.044,0.39,0.9941,7.6,30.0,3.46,2.6,0.44,180.0,0.2
9.1,0.034,0.22,0.99675,6.6,27.0,3.2,8.9,0.51,133.0,0.56
10.8,0.027,0.37,0.992,6.8,37.0,3.3,1.5,0.45,93.0,0.18
9.7,0.039,0.46,0.993,6.2,38.0,3.38,1.6,0.51,123.0,0.15
11.4,0.035,0.31,0.99053,6.5,24.0,3.27,1.7,0.69,79.0,0.29
9.5,0.136,0.29,0.99336,6.6,15.0,3.18,2.4,0.6,93.0,0.38
10.6,0.048,0.27,0.994,7.4,26.0,3.52,1.3,0.66,105.0,0.18
9.9,0.034,0.04,0.9964,5.7,22.0,3.28,12.6,0.63,115.0,0.385
11.3,0.026,0.21,0.99089,6.6,48.0,3.22,2.9,0.38,126.0,0.26
9.2,0.045,0.42,0.9991,7.7,45.0,3.18,14.3,0.63,213.0,0.3
10.8,0.039,0.66,0.9965,5.8,26.0,3.66,9.1,0.55,159.0,0.28
9.9,0.058,0.32,0.9956,7.2,47.0,3.19,8.5,0.4,186.0,0.23
9.5,0.117,0.2,0.99459,6.4,57.0,3.24,5.3,0.43,181.0,0.38
9.1,0.043,0.3,0.9936,6.5,33.0,3.42,0.8,0.39,144.0,0.19
10.8,0.046,0.26,0.99526,6.3,60.0,3.26,12.7,0.35,143.0,0.2
12.5,0.023,0.33,0.991,6.3,28.0,3.3,4.7,0.38,110.0,0.41
9.5,0.05,0.49,0.9951,6.3,67.0,3.23,7.1,0.34,210.0,0.23
12.6,0.03,0.31,0.99026,6.5,36.0,3.22,3.6,0.62,92.0,0.26
10.5,0.046,0.19,0.99184,6.1,51.0,3.22,1.4,0.39,131.0,0.21
9.6,0.055,0.34,0.9945,7.5,50.0,3.29,1.3,0.8,153.0,0.14
10.3,0.047,0.22,0.99527,8.1,24.0,3.22,5.2,0.47,151.0,0.33
10.3,0.038,0.35,0.9949,7.4,30.0,3.49,2.1,0.77,116.0,0.2
10.4,0.054,0.34,0.99489,6.8,26.0,3.42,3.5,0.58,189.0,0.29
11.2,0.045,0.28,0.9913,5.7,57.0,3.22,3.7,0.27,151.0,0.15
12.7,0.018,0.34,0.9898,6.9,57.0,3.28,4.2,0.36,119.0,0.36
9.5,0.052,0.32,0.99657,6.1,52.0,3.39,7.8,0.65,183.0,0.33
11.7,0.046,0.38,0.9925,7.1,14.0,3.32,1.8,0.9,114.0,0.13
11.8,0.033,0.38,0.991,5.7,23.0,3.42,4.75,0.42,94.0,0.32
9.3,0.038,0.02,0.9932,5.9,22.0,3.36,0.8,0.36,63.0,0.415
12.7,0.042,0.27,0.98952,6.0,19.0,3.32,2.3,0.41,120.0,0.31
11.9,0.044,0.23,0.98924,4.8,38.0,3.28,1.1,0.34,180.0,0.29
10.1,0.029,0.34,0.99155,5.2,26.0,3.25,0.8,0.51,77.0,0.16
12.4,0.03,0.28,0.99,6.8,29.0,3.23,4.0,0.46,79.0,0.37
9.8,0.048,0.24,0.9982,6.5,24.0,3.44,14.0,0.53,113.0,0.41
9.5,0.118,0.2,0.9946,6.4,61.0,3.24,5.7,0.43,172.0,0.36
12.6,0.035,0.31,0.9918,6.8,33.0,3.24,6.3,0.66,170.0,0.22
9.9,0.058,0.24,0.995,7.2,40.0,3.2,6.7,0.41,163.0,0.43
11.94,0.035,0.22,0.99172,6.3,23.0,3.2,7.3,0.39,117.0,0.41
10.7,0.028,0.49,0.9962,7.1,40.0,3.22,8.7,0.36,184.0,0.85
12.0,0.039,0.38,0.98972,6.1,37.0,3.2,1.5,0.43,122.0,0.21
11.8,0.044,0.32,0.99108,6.0,13.0,3.39,3.8,0.44,116.0,0.34
12.3,0.034,0.28,0.98928,6.5,26.0,3.25,1.1,0.33,83.0,0.24
11.2,0.038,0.38,0.9918,6.8,35.0,3.32,1.4,0.59,111.0,0.18
10.9,0.058,0.36,0.995,7.9,31.0,3.25,5.9,0.52,132.0,0.18
10.4,0.039,0.24,0.99304,6.6,29.0,3.35,1.6,0.61,140.0,0.295
12.9,0.044,0.31,0.99013,6.7,37.0,3.29,2.3,0.46,113.0,0.24
10.1,0.046,0.28,0.9927,6.7,35.0,3.33,1.2,0.33,140.0,0.13
10.9,0.042,0.28,0.99385,7.5,21.0,3.36,4.9,0.57,155.0,0.33
8.7,0.051,0.33,0.9965,6.5,16.0,3.28,8.0,0.44,131.0,0.18
10.4,0.046,0.54,0.99454,6.2,58.0,3.19,7.0,0.7,176.0,0.25
13.5,0.013,0.12,0.99246,4.8,4.0,3.32,1.1,0.36,10.0,0.65
9.4,0.053,0.21,0.99445,6.8,34.0,3.3,5.4,0.43,104.0,0.18
10.2,0.046,0.04,0.9934,5.9,21.0,3.22,5.7,0.51,87.0,0.36
10.0,0.048,0.3,0.9956,6.7,40.0,3.29,6.4,0.52,251.0,0.18
12.0,0.04,0.3,0.98985,7.0,14.0,3.2,1.4,0.33,63.0,0.22
11.0,0.039,0.35,0.99216,6.4,43.0,3.18,4.6,0.4,147.0,0.23
9.0,0.058,0.14,0.9951,6.4,15.0,3.38,5.2,0.36,97.0,0.595
9.3,0.052,0.36,0.9984,6.5,53.0,3.44,11.0,0.55,247.0,0.34
11.4,0.045,0.33,0.9931,7.4,31.0,3.42,2.0,0.55,101.0,0.22
10.3,0.042,0.39,0.995,7.4,36.0,3.36,4.7,0.56,137.0,0.13
10.6,0.047,0.29,0.99243,7.4,16.0,3.28,1.7,0.45,100.0,0.2
12.0,0.042,0.29,0.992,6.4,24.0,3.23,5.85,0.32,99.0,0.125
12.2,0.049,0.31,0.99067,5.8,25.0,3.44,2.7,0.73,153.0,0.32
9.0,0.036,0.02,0.993,7.0,39.0,3.2,1.0,0.32,107.0,0.53
9.4,0.049,0.48,0.99582,6.8,55.0,3.21,6.2,0.45,182.0,0.26
12.5,0.032,0.21,0.99027,5.5,23.0,3.42,1.6,0.42,85.0,0.28
9.6,0.056,0.32,0.9998,7.1,49.0,3.37,16.9,0.38,158.0,0.22
11.4,0.048,0.17,0.991,6.1,46.0,3.3,1.6,0.43,129.0,0.2
10.8,0.036,0.35,0.99315,6.9,33.0,3.21,1.7,0.54,101.0,0.19
12.6,0.014,0.27,0.98914,5.8,45.0,3.4,1.7,0.56,104.0,0.3
9.7,0.038,0.32,0.9958,6.5,48.0,3.45,7.6,0.54,203.0,0.24
9.7,0.05,0.3,0.9942,6.8,40.0,3.4,5.3,0.39,127.0,0.15
12.0,0.03,0.31,0.99014,6.2,32.0,3.18,3.2,0.31,150.0,0.25
11.0,0.053,0.31,0.99544,6.5,20.0,3.2,13.55,0.56,113.0,0.36
11.7,0.031,0.38,0.99321,5.3,53.0,3.34,10.5,0.46,140.0,0.31
9.1,0.051,0.39,0.99947,7.1,48.0,3.35,14.5,0.78,156.0,0.18
11.5,0.053,0.18,0.98956,5.1,13.0,3.22,1.0,0.39,99.0,0.23
10.0,0.049,0.5,0.9927,5.7,17.0,3.22,2.6,0.64,155.0,0.32
11.4,0.031,0.3,0.9917,7.1,13.0,3.19,2.0,0.49,128.0,0.26
9.9,0.059,0.33,0.9944,7.6,19.0,3.22,2.0,0.56,175.0,0.27
9.4,0.044,0.25,0.9949,7.2,31.0,3.23,4.5,0.36,109.0,0.2
12.8,0.037,0.34,0.98986,5.8,24.0,3.36,2.2,0.33,125.0,0.28
10.8,0.036,0.27,0.9926,6.9,42.0,3.42,2.1,0.49,121.0,0.28
10.0,0.048,0.01,0.99362,6.4,20.0,3.19,6.1,0.42,70.0,0.41
11.2,0.041,0.46,0.9932,7.2,82.0,3.19,3.8,0.6,187.0,0.19
12.8,0.022,0.3,0.98869,5.5,20.0,3.34,1.1,0.38,110.0,0.29
11.6,0.022,0.4,0.9922,5.6,23.0,3.54,6.3,0.5,174.0,0.35
12.0,0.019,0.3,0.98931,7.1,4.0,3.2,0.9,0.36,28.0,0.2
9.0,0.066,0.32,0.9992,6.4,57.0,3.6,12.0,0.43,158.0,0.22
10.1,0.047,0.26,0.99622,7.0,30.0,3.38,7.3,0.58,220.0,0.16
13.1,0.024,0.1,0.98816,4.4,31.0,3.48,2.8,0.34,111.0,0.46
11.0,0.025,0.29,0.9929,6.7,26.0,3.28,5.8,0.53,74.0,0.26
10.5,0.054,0.31,0.9948,6.7,27.0,3.46,2.7,0.57,202.0,0.39
8.9,0.057,0.39,0.99851,6.6,51.0,3.26,11.9,0.51,221.0,0.39
9.0,0.059,0.46,1.0004,8.1,32.0,3.27,15.4,0.58,177.0,0.28
11.35,0.051,0.3,0.99339,6.5,25.0,3.24,9.15,0.56,166.0,0.29
10.4,0.033,0.2,0.9938,6.1,25.0,3.3,6.6,0.69,137.0,0.38
13.7,0.024,0.32,0.98906,5.8,28.0,3.25,4.5,0.52,94.0,0.31
10.5,0.045,0.36,0.99284,6.7,24.0,3.3,2.0,0.59,131.0,0.16
10.2,0.054,0.36,0.99578,7.7,25.0,3.25,5.9,0.54,148.0,0.16
11.5,0.031,0.32,0.99437,5.5,16.0,3.26,14.0,0.38,99.0,0.15
10.1,0.064,0.27,0.99776,6.5,29.0,3.2,17.4,0.49,140.0,0.25
12.0,0.019,0.3,0.98931,7.1,4.0,3.2,0.9,0.36,28.0,0.2
10.6,0.055,0.4,0.9953,8.0,41.0,3.18,5.2,0.4,167.0,0.2
10.15,0.036,0.33,0.99362,6.0,30.0,3.32,6.0,0.58,111.0,0.17
10.3,0.058,0.39,0.9955,8.3,16.0,3.28,2.4,0.59,107.0,0.27
11.7,0.058,0.22,0.9956,5.8,24.0,3.32,12.7,0.42,183.0,0.13
9.0,0.044,0.13,0.99772,6.6,26.0,3.24,12.8,0.47,158.0,0.42
9.8,0.046,0.31,0.99434,7.8,28.0,3.23,2.1,0.64,208.0,0.28
13.0,0.031,0.34,0.98854,5.3,3.0,3.27,1.4,0.38,60.0,0.6
12.0,0.034,0.24,0.9906,6.1,25.0,3.34,2.3,0.59,133.0,0.35
12.2,0.036,0.05,0.99269,7.0,19.0,3.26,8.0,0.46,164.0,0.55
8.9,0.055,0.38,1.0004,8.4,51.0,3.34,11.8,0.82,170.0,0.2
12.2,0.035,0.34,0.9905,7.0,36.0,3.18,3.0,0.43,102.0,0.24
12.5,0.014,0.32,0.99008,6.4,34.0,3.24,2.4,0.66,89.0,0.29
13.7,0.03,0.29,0.98913,5.9,32.0,3.41,3.1,0.33,123.0,0.17
8.8,0.053,0.43,1.0008,8.8,60.0,3.28,15.0,0.79,184.0,0.2
12.2,0.033,0.34,0.98974,7.1,27.0,3.24,1.0,0.41,73.0,0.15
11.5,0.03,0.47,0.9933,5.9,19.0,3.52,7.85,0.43,133.0,0.3
10.4,0.045,0.43,0.99752,6.6,53.0,3.52,10.9,0.77,154.0,0.19
11.9,0.028,0.32,0.99076,6.5,36.0,3.27,2.2,0.59,92.0,0.22
12.7,0.041,0.32,0.98949,6.6,8.0,3.22,1.5,0.39,72.0,0.23
8.7,0.05,0.23,0.9985,7.3,49.0,3.2,13.7,0.46,197.0,0.32
9.9,0.037,0.29,0.9937,6.5,8.0,3.19,2.25,0.62,210.0,0.3
9.4,0.042,0.48,0.99566,7.0,60.0,3.2,6.1,0.5,184.0,0.27
12.8,0.032,0.22,0.99015,6.7,19.0,3.26,4.3,0.53,99.0,0.44
10.6,0.044,0.3,0.9949,6.4,43.0,3.6,5.6,0.41,160.0,0.21
10.9,0.034,0.36,0.99184,5.9,19.0,3.25,2.4,0.48,77.0,0.42
10.1,0.05,0.4,0.9951,8.1,30.0,3.26,6.9,0.44,97.0,0.28
11.0,0.04,0.38,0.9954,6.0,29.0,3.47,9.7,0.48,124.0,0.33
8.9,0.055,0.38,1.0004,8.4,51.0,3.34,11.8,0.82,170.0,0.2
11.5,0.029,0.33,0.99114,6.5,35.0,3.36,1.4,0.6,138.0,0.18
11.2,0.046,0.32,0.99316,6.4,50.0,3.38,4.9,0.55,156.0,0.22
13.5,0.034,0.24,0.98815,5.6,10.0,3.32,1.9,0.5,53.0,0.41
10.7,0.046,0.29,0.99462,6.0,29.0,3.48,6.1,0.57,134.0,0.34
11.3,0.025,0.29,0.99159,6.7,37.0,3.31,2.8,0.63,107.0,0.3
10.8,0.037,0.3,0.9939,7.0,31.0,3.24,6.1,0.51,120.0,0.2
9.4,0.079,0.65,0.99307,5.7,17.0,3.2,1.2,0.42,137.0,0.255
13.5,0.028,0.13,0.99079,5.4,12.0,3.48,5.0,0.88,107.0,0.5
12.3,0.032,0.29,0.9896,6.0,27.0,3.38,1.0,0.44,96.0,0.26
9.8,0.042,0.37,0.9958,7.0,36.0,3.26,7.2,0.56,167.0,0.21
10.5,0.052,0.29,0.9929,6.4,34.0,3.48,1.6,0.56,127.0,0.28
9.3,0.044,0.42,0.9958,6.8,56.0,3.22,7.4,0.48,189.0,0.23
10.6,0.028,0.39,0.99156,5.3,40.0,3.57,1.0,0.59,101.0,0.16
11.1,0.059,0.32,0.99254,6.5,34.0,3.18,6.65,0.42,104.0,0.26
10.2,0.057,0.37,0.9973,6.8,35.0,3.57,7.0,0.55,208.0,0.28
9.6,0.056,0.29,0.9998,6.8,48.0,3.45,16.95,0.4,179.0,0.26
12.5,0.029,0.35,0.99092,5.4,26.0,3.29,6.5,0.44,87.0,0.22
13.1,0.04,0.32,0.98886,6.3,39.0,3.31,1.0,0.4,118.0,0.17
9.0,0.034,0.27,0.99773,7.2,40.0,3.2,11.4,0.44,174.0,0.24
10.8,0.047,0.31,0.993,7.7,33.0,3.22,1.3,0.55,106.0,0.24
10.8,0.028,0.49,0.9936,7.3,32.0,3.24,5.0,0.54,107.0,0.26
12.6,0.024,0.28,0.98993,6.8,64.0,3.45,1.9,0.6,106.0,0.37
10.1,0.059,0.24,0.99773,5.7,23.0,3.3,17.8,0.5,124.0,0.26
12.4,0.036,0.3,0.99037,6.4,25.0,3.29,2.9,0.6,79.0,0.29
10.2,0.05,0.49,0.9945,7.2,18.0,3.46,1.3,0.44,148.0,0.08
12.7,0.038,0.32,0.9911,5.9,9.0,3.22,8.1,0.36,34.0,0.33
10.1,0.048,0.24,0.9942,6.6,26.0,3.37,1.7,0.6,124.0,0.25
11.0,0.041,0.32,0.99235,6.0,40.0,3.22,4.8,0.54,186.0,0.32
11.0,0.044,0.21,0.99142,5.7,21.0,3.3,1.5,0.59,108.0,0.25
9.7,0.036,0.41,0.9947,8.5,24.0,3.18,4.3,0.53,99.0,0.21
9.5,0.041,0.26,0.9941,6.5,40.0,3.34,1.4,0.72,141.0,0.18
10.4,0.046,0.54,0.99454,6.2,58.0,3.19,7.0,0.7,176.0,0.25
11.1,0.044,0.29,0.994,7.4,31.0,3.3,5.4,0.5,122.0,0.4
10.4,0.046,0.34,0.9924,6.0,6.0,3.29,1.3,0.63,29.0,0.26
12.7,0.027,0.33,0.9906,6.5,40.0,3.28,3.9,0.39,130.0,0.37
11.0,0.035,0.56,0.9918,7.0,20.0,3.23,2.0,0.53,95.0,0.25
12.8,0.025,0.24,0.9903,7.1,32.0,3.34,1.8,0.59,102.0,0.36
9.2,0.04,0.28,0.99815,7.7,31.0,3.27,11.0,0.29,117.0,0.34
12.5,0.04,0.35,0.99128,7.1,41.0,3.32,2.5,0.56,186.0,0.21
12.2,0.041,0.49,0.9926,7.1,28.0,3.41,6.5,0.58,111.0,0.28
10.0,0.036,0.49,0.9966,7.7,11.0,3.33,7.7,0.76,110.0,0.39
10.5,0.047,0.32,0.9933,7.2,27.0,3.26,1.5,0.44,132.0,0.25
10.4,0.055,0.21,0.9986,6.6,41.0,3.35,16.3,0.54,182.0,0.54
10.4,0.053,0.31,0.99587,7.1,32.0,3.31,7.4,0.59,211.0,0.2
9.9,0.031,0.35,0.9928,7.2,27.0,3.33,1.2,0.34,84.0,0.16
11.1,0.047,0.3,0.9918,6.9,46.0,3.35,1.6,0.38,132.0,0.28
11.3,0.052,0.25,0.9915,6.6,41.0,3.24,3.1,0.4,188.0,0.27
12.5,0.025,0.13,0.9913,5.7,28.0,3.33,7.0,0.48,173.0,0.44
11.8,0.028,0.42,0.9908,6.3,45.0,3.27,2.8,0.43,107.0,0.17
10.1,0.051,0.28,0.9928,6.3,46.0,3.23,1.5,0.42,142.0,0.21
10.2,0.048,0.35,0.9939,6.9,36.0,3.32,5.4,0.42,108.0,0.115
11.4,0.041,0.33,0.99048,7.0,20.0,3.21,0.9,0.5,117.0,0.29
12.8,0.08,0.43,0.9905,7.3,21.0,3.19,1.7,0.42,123.0,0.28
9.2,0.038,0.05,0.9924,5.8,11.0,3.36,0.8,0.35,30.0,0.29
9.4,0.044,0.24,0.9989,5.7,60.0,3.31,17.5,0.44,167.0,0.28
11.3,0.043,0.36,0.99237,7.6,24.0,3.29,1.9,0.54,111.0,0.2
10.9,0.033,0.3,0.99225,5.9,28.0,3.39,2.0,0.69,92.0,0.24
11.4,0.04,0.2,0.99105,5.9,26.0,3.25,1.6,0.45,114.0,0.14
9.5,0.041,0.26,0.9941,6.5,40.0,3.34,1.4,0.72,141.0,0.18
10.7,0.042,0.33,0.99215,6.6,24.0,3.29,1.4,0.46,183.0,0.27
11.9,0.034,0.36,0.99085,7.3,30.0,3.25,2.1,0.4,177.0,0.25
10.4,0.045,0.43,0.99752,6.6,53.0,3.52,10.9,0.77,154.0,0.19
